service,unit,cost_per_unit,notes
genai_api,tokens,0.00002,≈ $20 per million tokens
bigquery,tb_processed,5,≈ $5 per TB scanned
gke,node_hours,0.07,≈ $0.07 per node-hour
compute_engine,vm_hours,0.05,≈ $0.05 per VM-hour
pubsub,messages,0.000001,≈ $1 per million messages
cloud_functions,invocations,0.000002,≈ $0.20 per million calls
cloud_storage,gb_months,0.02,≈ $0.02 per GB-month
vertex_ai,training_hours,2,≈ $2 per training-hour
cloud_loadbalancer,requests,0.0000005,≈ $0.50 per million requests
cloud_run,container_hours,0.1,≈ $0.10 per container-hour